company,title,location,posted,href,description,skills
Snappyhires,Data Scientist,"San Francisco, CA",,https://www.linkedin.com/jobs/view/data-scientist-at-snappyhires-2880911698?refId=WQ7grEbJcvf6e3yh9TkNNQ%3D%3D&trackingId=XdxM1PX78qdZKDEfcYOzWg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Description:Translate business questions and concerns into specific quantitative questions that can be answered with available data using sound methodologies. In cases where questions cannot be answered with available data, work with engineers to produce the required data.Retrieve, synthesize, and present critical data in a format that is immediately useful to answering specific questions or improving system performance.Analyze historical data to identify trends and support decision making.Improve upon existing methodologies by developing new data sources, testing model enhancements, and fine-tuning model parameters.Provide requirements to develop analytic capabilities, platforms, and pipelines.Apply statistical or machine learning knowledge to specific business problems and data.Formalize assumptions, create statistical definition of the outlier, and develop methods to systematically identify these outliers - Work out why such examples are outliers and define if any actions needed.Given anecdotes about anomalies or generate automatic scripts to define anomalies, deep dive to explain why they happen, and identify fixes - Make Decisions or recommendations.Build decision-making models and propose solution for the business problem you defined.Conduct written and verbal presentation to share insights and recommendations to audiences of varying levels of technical sophistication.Work with statistical and machine learning models, data mining, unstructured data analytics in corporate environments.Collaborate with a team of data scientists in developing and delivering machine learning models. that work in a production setting.Assess model accuracy using custom metrics over complex date-time and categorical segments.Work as key contributor to cross-functional, multi-disciplinary teams assembled for large scale data science projects.Lead marketing analytics data science platform development in Python.Data Scientist - Mandatory SkillsBA/BS in Computer Science Statistics, Mathematics, or other quantitative disciplines and 6+ years of experience with statistical modeling – OR –MS/Ph.D. in Computer Science, Data Science, Mathematics, or Statistics and 3+ years of experience with statistical modeling, with a minimum of 1 year of analytical experience in marketing analytics.Production experience with Python scientific stack required.Show less",b'Job Description:'
ProcessMiner Inc.,Data Scientist,"Atlanta, GA",,https://www.linkedin.com/jobs/view/data-scientist-at-processminer-inc-2882596405?refId=WQ7grEbJcvf6e3yh9TkNNQ%3D%3D&trackingId=WULyjZ09eNVx8%2BWxsWYrtA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"About usProcessMiner is an Atlanta-based company that provides SaaS platform for process optimization. Our platform uses advanced Data Science solutions developed by our Scientists. Right now we are primarily working with several continuous manufacturing industries, and expanding. We use the power of Data Science and industry experts to deliver the most effective solutions to our customers. We have developed state-of-the-art solutions that have resulted in large customers cost and resource savings. Our aim is to continue developing cutting-edge technologies to optimize any process-based industry.About you· Have a Data Science acumen· Able to explore the data and understand the problem· Be able to implement a solution· Test your implementation· Document your work· Clean codes that can be reused· Aware of general developments in the Data Science areaQualificationsRequired· Knowledge of Python and R.· Knowledge of building regression and classification models.· Knowledge of SQL.· Familiarity with any or all of,Regularization methods: Lasso, RidgeEnsemble methods: Random Forest, BoostingTime Series Analysis: Auto-regression, ARIMA, Kalman filter, etc.Random graphs modelingSupport Vector Machines and regressionDecision trees.Bachelor's Degree in Computer Science, Operations Research, Statistics, or related field.Preferred· Master's degree or higher degrees.· Industry experience in the field of Data Science.· Participation in competitions like Kaggle, Netflix Data Challenge.· Open source contributions in areas of Data Science (Machine Learning, Deep Learning, Statistical Learning).Why work with us?We are growing very fast. We are one of the first entrants in this field. We have just started and the sky is the limit for the industry problem we are solving. With us, you will get to work on building some advanced solutions. You will gain great experience in a short amount of time. Besides, you will get to work in a research-oriented, flexible and extremely friendly environment.Show less","b'Regularization methods: Lasso, Ridge|Ensemble methods: Random Forest, Boosting|Time Series Analysis: Auto-regression, ARIMA, Kalman filter, etc.|Random graphs modeling|Support Vector Machines and regression|Decision trees.|We are growing very fast. We are one of the first entrants in this field. We have just started and the sky is the limit for the industry problem we are solving. With us, you will get to work on building some advanced solutions. You will gain great experience in a short amount of time. Besides, you will get to work in a research-oriented, flexible and extremely friendly environment.'"
Pivotal Analytics,Data Scientist,United States,,https://www.linkedin.com/jobs/view/data-scientist-at-pivotal-analytics-2878741218?refId=WQ7grEbJcvf6e3yh9TkNNQ%3D%3D&trackingId=ZiBAAvej%2FUK1j2Gq1T6Z8A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Data visualization design experience required,b''
VDart,Data Scientist,United States,,https://www.linkedin.com/jobs/view/data-scientist-at-vdart-2880982116?refId=WQ7grEbJcvf6e3yh9TkNNQ%3D%3D&trackingId=YVnNnb3o%2FYZ0xHIdFgi2lw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"As a Sr. Data Scientist , you will be responsible for exploratory data analysis and creating insights from the data. Being in an agile team, you will also influence any additional metric and other engineering changes needed to improve model creation and accuracy. You will be responsible for building models and lead the development and deployments.ROLES & RESPONSIBILITIES:• Build a highly scalable distributed system that can process billions of metrics per second, build intelligent complex event processing and ML-based decision systems to automate security, capacity, and root cause operational issues• Prior experience with time-series data is preferable• Design systems that manage lifecycle and processing of large streaming data sets, evaluate, and create new ML models• Develop online algorithms that can auto-learn models best suited to the application, keeping cost and interpretability in mind• Deploy the algorithms and models in Azure/AWS/GCP or hybrid-cloud platforms• Develop retraining and online model performance monitoring strategiesShow less",b''
Diverse Lynx,Data Scientist,"Texas, United States",,https://www.linkedin.com/jobs/view/data-scientist-at-diverse-lynx-2878704610?refId=WQ7grEbJcvf6e3yh9TkNNQ%3D%3D&trackingId=Atf0w75YfqL2iMDtFJzkUg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Subject: Urgent Remote Hiring || Role- COP TO COP (C2C) || Position-Data Scientist || Location: Remote || Plano, TX Hi, folk Hope you are doing well. We have the below opening with one of our clients. Please review and let me know if you have any candidates available. Role- :-Data ScientistNo of positions: 2Location: Remote12+ monthH1B, US Citizen, GC, H4 EADPhone & VideoC2c Role Note – we will provide the initially remote after covid you will have to onsite.Job Description- Need exp with Denodo must haveAs we develop an enterprise-wide data and digital strategy that moves us toward greater focus on the use of data and data-driven insights, we are seeking a Scientist for our Semantic & Data Modeling Design team. The role will support the team’s efforts creating a holistic view of data across the firm while leading the development of the virtual data models. This role requires a person that is a team player, can work well with team members from other disciplines to deliver data-driven solutions togetherDISCOVER your opportunity -What will your essential responsibilities include?Internalize and execute on Data Intelligence & Analytics (DIA) and company-wide goals to become a data driven organizationUnderstand our existing data and architecture deeply (granular level)Apply best practices in Data Virtualization to develop and grow our enterprise semantic layer.Through highly performant Data design decisions, drive seamless data access across the various lines of business for technical and business consumptionDesign Business Object, Logical, Physical and Semantic Models at the enterprise and/or individual line of business and/or product levelActively collaborate with various teams across in our effort to transform into a data driven organizationLearn and deliver on third party applications (e.g., Denodo, PowerBI, MicroStrategy, SAP PowerDesigner)Contribute to the development of the Data Modeling team’s tools, skills, culture, and impactCollaborate with globally distributed team members In this role, you will report to the Data Modeling Division Lead.SHARE your talent-We’re looking for someone who has these abilities and skills:Bachelor’s degree in Computer Science, Mathematics, Statistics, Finance, related technical field, or equivalent work experience3+ years of experience in Denodo or other Data Virtualization product experience3+ years of extensive work experience in various data modeling techniques (relational, data warehouse, semistructured, etc.), application development, advance data querying skillsExtensive experience writing, optimizing, and analyzing SQL.Strong familiarity with Software Development Life Cycle (SDLC) processes and workflow.Ability to interpret complex data requirements and architect solutionsDistinctive problem-solving and analytical skills combined with strong business acumenExisting knowledge of Large Commercial Insurance business is a plusUnderstanding of Web Service Architecture, System Integration, Agile development methodologyExperience with SAP PowerDesigner is a plus.Experience with Microsoft Azure Synapse is a plus.Excellent presentation, communication (oral & written), and relationship building skills, across all levels of managementPassion for data and experience working within a data driven organizationYou care about what you do, and what we do   Thanks & RegardsRishabh VermaTechnical RecruiterDiverse Lynx LLC.Office No : +732-452-1006 Ext564Email- Rishabh.verma@diverselynx.comURL: http://www.diverselynx.com  “for our open requirements, please visit Current Openings Note: Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence, and performance of the essential functions of their positions. We promote and support a diverse workforce at all levels in the company. This is not an unsolicited mail and if it is not intended for you or you are not interested in receiving our e-mails, you can unsubscribe. We are sorry for any inconvenience.   To unsubscribe from future emails Please click here to unsubscribe    Show less","b'Internalize and execute on Data Intelligence & Analytics (DIA) and company-wide goals to become a data driven organization|Understand our existing data and architecture deeply (granular level)|Apply best practices in Data Virtualization to develop and grow our enterprise semantic layer.|Through highly performant Data design decisions, drive seamless data access across the various lines of business for technical and business consumption|Design Business Object, Logical, Physical and Semantic Models at the enterprise and/or individual line of business and/or product level|Actively collaborate with various teams across in our effort to transform into a data driven organization|Learn and deliver on third party applications (e.g., Denodo, PowerBI, MicroStrategy, SAP PowerDesigner)|Contribute to the development of the Data Modeling team\xe2\x80\x99s tools, skills, culture, and impact|Collaborate with globally distributed team members|Bachelor\xe2\x80\x99s degree in Computer Science, Mathematics, Statistics, Finance, related technical field, or equivalent work experience|3+ years of experience in Denodo or other Data Virtualization product experience|3+ years of extensive work experience in various data modeling techniques (relational, data warehouse, semistructured, etc.), application development, advance data querying skills|Extensive experience writing, optimizing, and analyzing SQL.|Strong familiarity with Software Development Life Cycle (SDLC) processes and workflow.|Ability to interpret complex data requirements and architect solutions|Distinctive problem-solving and analytical skills combined with strong business acumen|Existing knowledge of Large Commercial Insurance business is a plus|Understanding of Web Service Architecture, System Integration, Agile development methodology|Experience with SAP PowerDesigner is a plus.|Experience with Microsoft Azure Synapse is a plus.|Excellent presentation, communication (oral & written), and relationship building skills, across all levels of management|Passion for data and experience working within a data driven organization|You care about what you do, and what we do'"
"KGS Technology Group, Inc",Data Scientist,"Sunnyvale, CA",,https://www.linkedin.com/jobs/view/data-scientist-at-kgs-technology-group-inc-2880984322?refId=WQ7grEbJcvf6e3yh9TkNNQ%3D%3D&trackingId=1oNAOjomgmAfJD5iHOLtpA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers.  ResponsibilitiesAnalyze raw data: assessing quality, cleansing, structuring for downstream processingDesign accurate and scalable prediction algorithmsCollaborate with engineering team to bring analytical prototypes to productionGenerate actionable insights for business improvementsQualificationsBachelor's degree or equivalent experience in quantative field (Statistics, Mathematics, Computer Science, Engineering, etc.)At least 1 - 2 years' of experience in quantitative analytics or data modelingDeep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithmsFluency in a programming language (Python, C,C++, Java, SQL)Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)Show less","b""Analyze raw data: assessing quality, cleansing, structuring for downstream processing|Design accurate and scalable prediction algorithms|Collaborate with engineering team to bring analytical prototypes to production|Generate actionable insights for business improvements|Bachelor's degree or equivalent experience in quantative field (Statistics, Mathematics, Computer Science, Engineering, etc.)|At least 1 - 2 years' of experience in quantitative analytics or data modeling|Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms|Fluency in a programming language (Python, C,C++, Java, SQL)|Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)"""
Scalar Solutions,Data Scientist,New York City Metropolitan Area,,https://www.linkedin.com/jobs/view/data-scientist-at-scalar-solutions-2878762716?refId=WQ7grEbJcvf6e3yh9TkNNQ%3D%3D&trackingId=bzQogJTzAmyNl2Zcnsy4ZQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Scalar Solutions is looking for a Data Scientist (Customer Segmentation) who will work with the Customer Marketing department of our client to build and deploy data science models in support of sales & marketing operations. The Data Scientist will report to the Head of Analytics and will join an established Analytics department.Date Posted: 1/13/2022Location: Princeton, NJ (Temp Remote/Hybrid)Project Duration: 18months+Job Type: Full timeJob Responsibility:Measure promotional uplift of marketing activities more generally.Optimize promotional spending against key strategic objectives.Work closely with the marketing department to build proper A/B tests, set up the correct experimental framework, and continually refine and update tactics.Develop and produce predictive models including linear regression, autoregressive distributed lag models, or logistic models to model customer behavior.Leverage data science techniques including cluster analysis, K-means, KNN, decision trees, principal components, or others as needed to answer specific business questions as required.Create new models for customer segmentation.Maintain customer lifetime value predictive models, and leverage survival analysis to estimate the impacts of certain covariates on customer longevity.Requirement:· Master’s degree in Engineering, Data Science, Physics, Economics, or other related fields • Experience in uplift modeling. • Experience in A/B testing or other types of marketing analytics. • Experience with data science techniques including regression, logistic, cluster analysis, KNN, k-means, support vector machines, Bayesian analysis, decision trees, and light gradient boosting models. • Working knowledge of SQL. • Working knowledge of Python • Expertise in traditional predictive models.About Scalar Solutions:Scalar Solutions is an IT Staffing and Digital Consulting firm that specializes in designing and implementing solutions related to business intelligence, data science, and cloud. We are located in New York Metro area with offices in North Carolina and India.Show less",b''
SoftStandard Solutions,Data Scientist,United States,,https://www.linkedin.com/jobs/view/data-scientist-at-softstandard-solutions-2883193530?refId=WQ7grEbJcvf6e3yh9TkNNQ%3D%3D&trackingId=SNQ%2B0DmpEYFN6S0AJ0rb9w%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Title: Data ScientistLocation: Irving, TXDuration: 12 months’ contractDescription:Responsible for developing strategies for effective data analysis and reporting. Selects, configures, and implements analytical solutions. Develops and implements data analytics, data collection systems, and other strategies that optimize statistical efficiency and quality. Identifies, analyzes, and interprets trends or patterns in complex data sets.Manages computer systems in a business environment and responsible for resolving technical issues. Knowledgeable in programming, data structures, computer systems, and software engineering. Bachelor's or Master's degree in computer science, software engineering, or other related field. Ability to manage multiple assignments. Superior written and oral communication skills. 6-12+ years of experience.Requirement:- Must have strong Background in business intelligence tool Kibana (ELK)- Strong Background in Predictive Analytics, Machine Learning, Consulting Reporting andBusiness Development- Worked on various modelling techniques like Linear Regression, Logistic Regression(Binomial and Multi-Class), Robust Regression, DBSCAN, Text Analytics (NLP), 3Dimensional Tensor Factorization, Time-Series Analysis, Clustering, Holt-Winter’sForecasting Technique, Decision Tree Analysis, Boosted Decision Tree Analysis, CNN’s likeResnet, Inception etc.- Python (including packages like SciKitLearn, Numpy, Pandas)- SQL proficiency one or many (Postgres, Oracle, SQL Server, Teradata)- Graph DB knowledge- Programming Language(s): Experience in combinations of SAS, SQL, R, Python, Java- OS/HW: Experience in Linux/Unix open systems, AWS and/or Windows environment- Has an overall experience of 6- 12 years and worked on wide array of domains such asTelecom, Networking, Healthcare (Payer & Provider) , Pharmaceuticals and Supply Chain- Experience on data manipulation and various statistical techniques and tools such as SAS- Solid experience in writing SQL, stored procedures, query performance tuning preferably on Oracle 12c.Show less",b''
Proximate Technologies Inc,Data Scientist,"Plano, TX",,https://www.linkedin.com/jobs/view/data-scientist-at-proximate-technologies-inc-2880914621?refId=WQ7grEbJcvf6e3yh9TkNNQ%3D%3D&trackingId=hOBiFBZeY79TVQEtiEdowg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,we are only open for w2 positions,b''
Open Systems Inc.,Data Scientist,"Atlanta, GA",,https://www.linkedin.com/jobs/view/data-scientist-at-open-systems-inc-2880982687?refId=WQ7grEbJcvf6e3yh9TkNNQ%3D%3D&trackingId=V4VEjZ0SOszqCqxCuvLBwg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,
