company,title,location,posted,href,description,skills
Ruri Software Technologies LLC,Machine Learning Engineer,"Tampa, FL",,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-ruri-software-technologies-llc-2880928202?refId=BpPctBavw254Fhli59KgYg%3D%3D&trackingId=IhRwaCADAxX0IH88S29wyA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"MLEngineer (with Docker, EKS, AWS, Deployment model and Serving it with APIGEE).",b''
Greyscale AI,Machine Learning Engineer,San Francisco Bay Area,,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-greyscale-ai-2880988834?refId=BpPctBavw254Fhli59KgYg%3D%3D&trackingId=B%2BJf7G75a40%2Btu7dYxChtw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"The AI and Machine Learning team at Greyscale is responsible for building and maintaining ML/AI and data infrastructure that is used to efficiently experiment (RnD), build and deploy various AI/ML models to production. We have a challenging and yet exciting task of building everything from the ground up.As a Senior Machine Learning Engineer for the AI/ML team, your job is to help solve various problems in food inspection that includes computer vision on RGB, and X-ray images (which is not conventional) on cloud and ""on prem"" as well. You will work with an experienced group of machine learning engineers and researchers with a startup mindset and “get-it-done” culture.Who You Are:A Masters or Ph.D. in C.S., mathematics, statistics, or a related field preferred5+ years of experience in building complex large-scale machine learning systemsEarly Startup mindsetYou have experience with Machine Learning & Big Data technologies such as Spark, Scikit-learn, pandas etc. and deep learning frameworks such as Pytorch/Torch Serving in particular dealing with computer vision applications on cloud and edge devices.You have experience with machine learning and deep learning training and deployment infrastructure on cloud such as AWS Sagemaker.Proven track record of owning and driving complex cross-team technical initiatives from conceptualization to implementation to production.You are a hands-on coder who can lead by example and churn out robust, scalable, maintainable and well-tested code.You have a strong statistical knowledge and deep expertise in computer vision systemsStrong written and verbal communication skills.We Offer:An opportunity to be part of a dynamic, growing startup where your contributions make a real difference and new ideas are always welcome.Opportunity to build ML/AI infrastructure from scratchOpportunity to with with X-ray data is not conventionalA mission that matters. We are disrupting the food inspection industry by bringing cutting edge hardware and software to tackle complex problems that include metal or other impurities that often end up in the packaged food that we all consume.A competitive compensation package with generous benefitsShow less",b''
The World's Largest Entertainment Group,Machine Learning Engineer,"San Francisco, CA",,,,
CloudSpace LLC,Machine Learning Engineer,United States,4 days ago,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-cloudspace-llc-2876265814?refId=BpPctBavw254Fhli59KgYg%3D%3D&trackingId=3%2FtTjzrXLXSiaJE6rT78Lw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"AWS Sage maker : Must HaveModel Development LifecycleMLOPS - Model Governance, Model Versioning, Model Deployment on AWSML on AWS using PythonShow less",b''
Enexus Global Inc.,Machine Learning Engineer,"Pleasanton, CA",3 days ago,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-enexus-global-inc-2877872751?refId=BpPctBavw254Fhli59KgYg%3D%3D&trackingId=YZeFW4%2BXIDQgVIbI%2FUeXSA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,
MajorBoost,Machine Learning Engineer,United States,4 days ago,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-majorboost-2876248954?refId=BpPctBavw254Fhli59KgYg%3D%3D&trackingId=KaX0Zy6X0Wp7mzvachSszQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"MajorBoost - Machine Learning Engineer MajorBoost uses NLP to automate phone calls for doctors’ offices, so patients and healthcare workers can get coverage and claims info. MajorBoost is recruiting Machine Learning Engineers to help us build and scale our call automation. We’re looking for developers who want to have an impact, have a growth mindset, and enjoy solving challenging problems. At MajorBoost, you will bring AI to healthcare workers, empowering them to benefit patients. As an early team member, you’ll get to make a difference and get a slice of the company.  Our tech stack leverages C#, .NET, and Python. As a member of the conversational AI team, you will collaborate to build beautiful and elegant solutions to complex problems. You will be responsible for architecting the applications that users use daily and should be comfortable building and shipping end-to-end vertically integrated features. Position: Full TimeBenefits: Eligible / Medical and 401kLocation: Remote / Anywhere in the USNot open to sponsorships or H-1B visa holders Job responsibilities:Own (design, build, evaluate, deploy, monitor and improve) at least one of the ML components in MajorBoost’s call automation engineWork closely with engineering teams to build and improve product features and internal toolsLearn, inform, influence and implement best practices for ML, MLops, Data Engineering, DataOps across all MajorBoost teamsCollaborate with science and engineering teams to raise internal AI/ML benchmarksLeverage MajorBoost’s data and market insights to innovate healthcare solutions through AI and machine learning What we look for:3+ years professional experience with machine learningProficiency in Python (C# is a bonus)Solid grasp of computer science, algorithms and data structuresExperience with shipping products in cloud environmentsAdaptable, humble, and interested in making an impactBonus: Formal education in computer science or a similar fieldBonus: Experience with conversational AIBonus: Experience with machine learning in production / MLops What we offer:A fast-paced, inclusive and collaborative environmentBuild category-defining productsWork with world-class talentA chance to be an early member of the team, with equity to matchMake an impact, make healthcare more efficientMedical coverage, 401K options MajorBoost MajorBoost automates phone calls for doctors’ offices. Healthcare staff spend hours on the phone to understand benefits and claim status. MajorBoost uses AI techniques to handle phone calls, freeing up healthcare staff to focus on taking care of patients. Founded at the Allen Institute for Artificial Intelligence, MajorBoost is led by technologists with a mix of entrepreneurial and large-scale AI experience. Show less","b'Own (design, build, evaluate, deploy, monitor and improve) at least one of the ML components in MajorBoost\xe2\x80\x99s call automation engine|Work closely with engineering teams to build and improve product features and internal tools|Learn, inform, influence and implement best practices for ML, MLops, Data Engineering, DataOps across all MajorBoost teams|Collaborate with science and engineering teams to raise internal AI/ML benchmarks|Leverage MajorBoost\xe2\x80\x99s data and market insights to innovate healthcare solutions through AI and machine learning|3+ years professional experience with machine learning|Proficiency in Python (C# is a bonus)|Solid grasp of computer science, algorithms and data structures|Experience with shipping products in cloud environments|Adaptable, humble, and interested in making an impact|Bonus: Formal education in computer science or a similar field|Bonus: Experience with conversational AI|Bonus: Experience with machine learning in production / MLops|A fast-paced, inclusive and collaborative environment|Build category-defining products|Work with world-class talent|A chance to be an early member of the team, with equity to match|Make an impact, make healthcare more efficient|Medical coverage, 401K options'"
Stitch Fix,Machine Learning Engineer,United States,,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-stitch-fix-2880598194?refId=BpPctBavw254Fhli59KgYg%3D%3D&trackingId=ydeXwKN0SQtwnFFhOP%2BHrw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"In this role, you will be building the next generation ML systems that transform the way people find what they love. As a Machine Learning Engineer, your focus will be on building, productionizing and scaling of machine learning models, and promoting engineering excellence.You will get the opportunity to work with data scientists and engineers, as well as lead work cross-functionally with Strategy, Product, Merchandising, Marketing, and Engineering partners to build and enhance those capabilities.Multiple teams are looking for machine learning engineers. Here are some examples of teams you might have the opportunity to join:Core Representation Learning: this team builds general purpose recommendation systems to understand our clients’ preferences across style, size, and fit. The team’s recommendations are used for personalization across a variety of downstream algorithms and applications, e.g. style shuffle, shop recommendations, outfit generation, and home feed personalization.Freestyle recommendation team: builds recommendation systems and ranking for the Freestyle product, including product description page and carousels.Styling recommendations: we build models that score the best items for clients to be used to enable other teams to transform the way clients find the clothes they love.You're Excited About This Opportunity Because You Will...Bring your engineering excellence to improve how we serve real time recommendations in production at scale.Make a substantial impact on personalization across multiple dimensions by creating the infrastructure that allows us to build the next generation of recommendation systemsCollaborate with data scientists on a variety of sophisticated machine learning algorithmsWork closely with partners in ML Platform Eng, Engineering, Product and Merchandising teamsBe empowered to take initiative and follow your innate curiosityWe're Excited About You Because…You are familiar with Python and modern ML frameworks such as PyTorch or TensorFlowYou are familiar with the fundamentals of ML in at least one of these areas: supervised learning, recommendation systems, or deep learning.You have experience building, deploying and maintaining high performing, resilient, and scalable real time machine learning systemsYou are a clear communicator who can get buy-in from partners and you are excited to be part of a teamYou are curious, inspired to take on new challenges and calculated risksYou care about the system level implications of our work (e.g. ethical concerns for clients, stylists, warehouse workers etc.)Why you'll love working at Stitch Fix...We are a group of people who are bright, kind and motivated by challenges. You can be your authentic self here, and are empowered to encourage others to do the same!We are a successful, fast-growing company at the forefront of tech and fashion, redefining retail for the next generationWe are a technology and data-first businessWe believe in autonomy & taking initiativeWe take what we do seriously, but we don’t take ourselves too seriouslyWe offer competitive compensation packages and comprehensive health benefitsWe are proud to say that we work for Stitch Fix and know that the work we do brings joy to our clients every dayAbout Stitch FixAt Stitch Fix, we’re about personal styling for everybody and we believe in both a service and a workplace where you can be your best, most authentic self. We’re the first fashion retailer to combine technology and data science with the human instinct of a Stylist to deliver a deeply personalized shopping experience. This novel juxtaposition attracts a highly diverse group of talented people who are both thinkers and doers. All of this results in a simple, powerful offering to our customers and a successful, growing business serving millions of men, women, and kids. We believe we are only scratching the surface on our opportunity, and we’re looking for incredible people like you to help us carry on that trend.Show less","b'Core Representation Learning: this team builds general purpose recommendation systems to understand our clients\xe2\x80\x99 preferences across style, size, and fit. The team\xe2\x80\x99s recommendations are used for personalization across a variety of downstream algorithms and applications, e.g. style shuffle, shop recommendations, outfit generation, and home feed personalization.|Freestyle recommendation team: builds recommendation systems and ranking for the Freestyle product, including product description page and carousels.|Styling recommendations: we build models that score the best items for clients to be used to enable other teams to transform the way clients find the clothes they love.|Bring your engineering excellence to improve how we serve real time recommendations in production at scale.|Make a substantial impact on personalization across multiple dimensions by creating the infrastructure that allows us to build the next generation of recommendation systems|Collaborate with data scientists on a variety of sophisticated machine learning algorithms|Work closely with partners in ML Platform Eng, Engineering, Product and Merchandising teams|Be empowered to take initiative and follow your innate curiosity|You are familiar with Python and modern ML frameworks such as PyTorch or TensorFlow|You are familiar with the fundamentals of ML in at least one of these areas: supervised learning, recommendation systems, or deep learning.|You have experience building, deploying and maintaining high performing, resilient, and scalable real time machine learning systems|You are a clear communicator who can get buy-in from partners and you are excited to be part of a team|You are curious, inspired to take on new challenges and calculated risks|You care about the system level implications of our work (e.g. ethical concerns for clients, stylists, warehouse workers etc.)|We are a group of people who are bright, kind and motivated by challenges. You can be your authentic self here, and are empowered to encourage others to do the same!|We are a successful, fast-growing company at the forefront of tech and fashion, redefining retail for the next generation|We are a technology and data-first business|We believe in autonomy & taking initiative|We take what we do seriously, but we don\xe2\x80\x99t take ourselves too seriously|We offer competitive compensation packages and comprehensive health benefits|We are proud to say that we work for Stitch Fix and know that the work we do brings joy to our clients every day'"
Snappyhires,Data Scientist,"San Francisco, CA",,https://www.linkedin.com/jobs/view/data-scientist-at-snappyhires-2880911698?refId=BpPctBavw254Fhli59KgYg%3D%3D&trackingId=vqj1RdqK%2FvNO3J57GF2Zag%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Description:Translate business questions and concerns into specific quantitative questions that can be answered with available data using sound methodologies. In cases where questions cannot be answered with available data, work with engineers to produce the required data.Retrieve, synthesize, and present critical data in a format that is immediately useful to answering specific questions or improving system performance.Analyze historical data to identify trends and support decision making.Improve upon existing methodologies by developing new data sources, testing model enhancements, and fine-tuning model parameters.Provide requirements to develop analytic capabilities, platforms, and pipelines.Apply statistical or machine learning knowledge to specific business problems and data.Formalize assumptions, create statistical definition of the outlier, and develop methods to systematically identify these outliers - Work out why such examples are outliers and define if any actions needed.Given anecdotes about anomalies or generate automatic scripts to define anomalies, deep dive to explain why they happen, and identify fixes - Make Decisions or recommendations.Build decision-making models and propose solution for the business problem you defined.Conduct written and verbal presentation to share insights and recommendations to audiences of varying levels of technical sophistication.Work with statistical and machine learning models, data mining, unstructured data analytics in corporate environments.Collaborate with a team of data scientists in developing and delivering machine learning models. that work in a production setting.Assess model accuracy using custom metrics over complex date-time and categorical segments.Work as key contributor to cross-functional, multi-disciplinary teams assembled for large scale data science projects.Lead marketing analytics data science platform development in Python.Data Scientist - Mandatory SkillsBA/BS in Computer Science Statistics, Mathematics, or other quantitative disciplines and 6+ years of experience with statistical modeling – OR –MS/Ph.D. in Computer Science, Data Science, Mathematics, or Statistics and 3+ years of experience with statistical modeling, with a minimum of 1 year of analytical experience in marketing analytics.Production experience with Python scientific stack required.Show less",b'Job Description:'
"KGS Technology Group, Inc",Data Scientist,"Sunnyvale, CA",,https://www.linkedin.com/jobs/view/data-scientist-at-kgs-technology-group-inc-2880984322?refId=BpPctBavw254Fhli59KgYg%3D%3D&trackingId=YAttCfOZq9StdONuzv%2F4jg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers.  ResponsibilitiesAnalyze raw data: assessing quality, cleansing, structuring for downstream processingDesign accurate and scalable prediction algorithmsCollaborate with engineering team to bring analytical prototypes to productionGenerate actionable insights for business improvementsQualificationsBachelor's degree or equivalent experience in quantative field (Statistics, Mathematics, Computer Science, Engineering, etc.)At least 1 - 2 years' of experience in quantitative analytics or data modelingDeep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithmsFluency in a programming language (Python, C,C++, Java, SQL)Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)Show less","b""Analyze raw data: assessing quality, cleansing, structuring for downstream processing|Design accurate and scalable prediction algorithms|Collaborate with engineering team to bring analytical prototypes to production|Generate actionable insights for business improvements|Bachelor's degree or equivalent experience in quantative field (Statistics, Mathematics, Computer Science, Engineering, etc.)|At least 1 - 2 years' of experience in quantitative analytics or data modeling|Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms|Fluency in a programming language (Python, C,C++, Java, SQL)|Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)"""
ProcessMiner Inc.,Data Scientist,"Atlanta, GA",,https://www.linkedin.com/jobs/view/data-scientist-at-processminer-inc-2882596405?refId=BpPctBavw254Fhli59KgYg%3D%3D&trackingId=eOH%2B0KdgTFhKlkAQSpecRA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"About usProcessMiner is an Atlanta-based company that provides SaaS platform for process optimization. Our platform uses advanced Data Science solutions developed by our Scientists. Right now we are primarily working with several continuous manufacturing industries, and expanding. We use the power of Data Science and industry experts to deliver the most effective solutions to our customers. We have developed state-of-the-art solutions that have resulted in large customers cost and resource savings. Our aim is to continue developing cutting-edge technologies to optimize any process-based industry.About you· Have a Data Science acumen· Able to explore the data and understand the problem· Be able to implement a solution· Test your implementation· Document your work· Clean codes that can be reused· Aware of general developments in the Data Science areaQualificationsRequired· Knowledge of Python and R.· Knowledge of building regression and classification models.· Knowledge of SQL.· Familiarity with any or all of,Regularization methods: Lasso, RidgeEnsemble methods: Random Forest, BoostingTime Series Analysis: Auto-regression, ARIMA, Kalman filter, etc.Random graphs modelingSupport Vector Machines and regressionDecision trees.Bachelor's Degree in Computer Science, Operations Research, Statistics, or related field.Preferred· Master's degree or higher degrees.· Industry experience in the field of Data Science.· Participation in competitions like Kaggle, Netflix Data Challenge.· Open source contributions in areas of Data Science (Machine Learning, Deep Learning, Statistical Learning).Why work with us?We are growing very fast. We are one of the first entrants in this field. We have just started and the sky is the limit for the industry problem we are solving. With us, you will get to work on building some advanced solutions. You will gain great experience in a short amount of time. Besides, you will get to work in a research-oriented, flexible and extremely friendly environment.Show less","b'Regularization methods: Lasso, Ridge|Ensemble methods: Random Forest, Boosting|Time Series Analysis: Auto-regression, ARIMA, Kalman filter, etc.|Random graphs modeling|Support Vector Machines and regression|Decision trees.|We are growing very fast. We are one of the first entrants in this field. We have just started and the sky is the limit for the industry problem we are solving. With us, you will get to work on building some advanced solutions. You will gain great experience in a short amount of time. Besides, you will get to work in a research-oriented, flexible and extremely friendly environment.'"
